Index,Headline
166,"
दक्षिण कोरियामा बुस्टर डोज लगाउने मजदुरको जरिवाना मिनाहा, प्रवेशाज्ञा प्रतिबन्ध पनि फुकुवा गर्ने"
167,"
वैदेशिक रोजगारमा ठगी बढ्दै, ६ महिनामा १६ करोड ८५ लाख उठाइदिन उजुरी"
168,"
युएई र साउदीमा अलपत्र नेपाली श्रमिकको उद्धार"
169,"
सडक दुर्घटनामा मलेशियामा नेपाली युवकको मृत्यु"
170,"
अलपत्र नेपालीको व्यवस्थापनका लागि श्रममन्त्री आफै युएई जाँदै"
171,"
बेलायतको सरकारी विमानले २०० नेपालीको लगेज फिर्ता गरेन"
172,"
१५ जना शाखा अधिकृत उपसचिवमा बढुवाका लागि सिफारिस"
173,"
‘फ्री भिषा फ्री टिकट’ भनिए पनि अझै एक लाखदेखि अढाई लाखसम्म तिर्नुपर्ने बाध्यता"
174,"
१४ जना उपसचिवको बढुवा सिफारिस, को को परे ?"
175,"
श्रममन्त्रीको तलबभत्ता क्याम्पसलाई"
176,"
‘विदेशमाजस्तो दुःख  गरे स्वदेशमा  मनग्य आम्दानी गर्न सकिन्छ’"
177,"
२ लाख १६ हजारभन्दा धेरै नेपाली विदेशमा, दश वर्षमा विदेश जाने महिलाको संख्या ७१.०९ प्रतिशतले बढे"
178,"
कर्मचारी सरुवा कानुन सम्मत, सङ्घमा फर्काउन नपर्ने आदेश"
179,"
‘भिजिट भिसा’ दिन मापदण्ड बनाइने"
180,"
युएईमा अलपत्र परेका नेपालीको उद्दार गर्न युएई सरकारको प्रतिबद्धता"
181,"
दुबईमा अलपत्र छोराको शव ल्याउन आर्थिक सहयोग खोज्दै भुजेल दम्पती"
182,"
एनआरएनएको चुनाव गराउन घलेको नेतृत्वमा समिति गठन"
183,"
आइतबारदेखि अनलाइनबाट मात्र पुनः श्रम स्वीकृति, कसरी लिने पुनः श्रम स्वीकृति ?"
184,"
आयल निगमको कार्यकारी निर्देशक पदमा जागिर खुल्यो"
185,"
वैदेशिक रोजगारमा 'डिमाण्ड' आएका कामदार पठाउन छ महिनाको म्याद थप"
186,"
पोर्चुगल पठाइदिने नाममा ट्राभल्सद्वारा ठगी, २ जना पक्राउ"
187,"
अपाङ्गहरुलाई सक्षम बनाउँदै पुनर्स्थापना केन्द्र, बजेट अभावले लक्ष्यअनुसार काम भएन्"
188,"
'राज्यको गलत नीतिका कारण अहिले लाखौँ युवा विदेश जान बाध्य'"
189,"
नेपालीका लागि नयाँ मुलुकमा रोजगारीको अवसर"
190,"
वैदेशिक रोजगारीमा जानेका लागि खोप व्यवस्थापन"
191,"
२० जना उपसचिवलाई सहसचिवमा बढुवा गर्न सिफारिस"
192,"
वैदेशिक रोजगारीले रित्तिदै  छन् गाउँ"
193,"
नयाँ कार्यविधि नबन्दा खाद्य व्यवस्था तथा व्यापार कम्पनीमा कर्मचारी भर्ना रोकियो"
194,"
नेपाल राष्ट्र बैंकमा जागीर खुल्यो (सूचना सहित)"
195,"
कर्णालीका लागि ४५ दरबन्दी स्वीकृत"
196,"
अध्यागमनबाट फर्काइए विदेश जान लागेका ७६ यात्रु"
197,"
१६ वर्षअघिको श्रम सम्झौता संशोधन गर्दै कतार, नेपालीलाई के फाइदा हुन्छ ?"
198,"
एनआरएनए एनसिसीहरुको दोस्रो विश्व भेला १५ मङ्सिरमा"
199,"
एनआरएनलाई डलर खाता खोल्न दिइने"
200,"
ओलीले बनाएको यो कानून लागू गर्नै नहुने हो र ?"
201,"
रोजगार अनुमति प्रणाली (इपीएस) मंसिरदेखि खुल्ने"
202,"
नागरिकता बनाउनेभन्दा राहदानी बनाउने धेरै"
203,"
राष्ट्रिय वाणिज्य बैंकमा ८ सय बढीलाई रोजगारीको अवसर"
204,"
लमजुङमा भूकम्पको धक्का"
205,"
मन्त्री श्रेष्ठ दुबई प्रस्थान"
206,"
बेल्जियमा काम लगाइदिने प्रलोभनमा एक महिलामाथि थाइल्याण्ड पुर्याइ यौनशोषण"
207,"
टुरिष्ट भिसामा दुबई गएका सात नेपाली अलपत्र"
208,"
इजरायल जाने अन्तिम छनोटमा परेका ११७५ जना श्रमिकको नामावली सार्वजनिक"
209,"
नेपाल प्रहरीमा ७ सय ८१ जनाको लागि जागीर खुल्यो"
210,"
स्वदेशमा रोजगारीको अभावः दशैंको मुखमा पनि भारत पलायन हुने क्रम रोकएन"
211,"
एनआरएन अध्यक्षमा डा बद्री केसीको उम्मेदवारी, यस्तो छ घोषणापत्र"
212,"
मध्यपूर्व एनआरएनए अभियानको मुटु हो : उपाध्यक्ष डा केसी"
213,"
‘एनआरएनएको वर्तमान नेतृत्वमाथि सुनियोजित षड्यन्त्र गरियो’"
214,"
नागरिकता र सम्पत्तिको अधिकार स्थापित गर्छु : एनआरएनए अध्यक्षका प्रत्यासी"
215,"
एनआरएनएको अध्यक्षमा उम्मेदवारी दिने रविना थापाको घोषणा"
216,"
नेपाल क्लियरिङ हाउसमा जागिर खुल्यो"
217,"
भेरोसेलको दोस्रो मात्रा खोप भोलिदेखि, लगाउने स्थान सहित"
218,"
७० प्रतिशत श्रमिक भन्छन्– फेरि त्यही मेनपावरबाट विदेश जान्नँ !"
